region,health_ratio,ratio_underage_partic,coeff_Gini,not_smoking_male%,not_smoking_female%,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes
Республика Бурятия,6.5,0.8168833333333335,0.3672,55.58924804176213,80.71313602389785,8188.833333333333,3781.333333,1377.0,49.5,446.8333333333333,38.120000000000005,977213,18697.0
Забайкальский край,4.933333333333334,0.9781333333333334,0.3657999999999999,62.02674184207329,83.21979820336374,9912.833333333334,4520.333333,1740.1666666666667,63.833333333333336,533.0,37.91,1004482,19416.8
Республика Саха (Якутия),4.15,0.4562,0.4078,58.74690610013131,78.81738652815633,6412.5,3217.1666666666665,1740.0,22.33333333333333,256.8333333333333,47.832,991260,13373.2
Камчатский край,8.633333333333333,0.7232,0.387,64.07646856479118,78.65567001258795,2786.5,834.3333333333334,482.8333333333333,21.166666666666668,96.16666666666669,54.0895,292382,5397.0
Приморский край,4.566666666666666,0.7036666666666666,0.3758,63.2695243970202,85.12853181576797,12552.0,3735.0,2334.6666666666665,87.0,536.6666666666666,54.8935,1841770,31782.4
Хабаровский край,3.9,0.7822833333333333,0.3658,58.275239147068056,81.894888439099,8768.333333333334,2604.0,1545.5,88.16666666666667,419.3333333333333,58.149,1292987,20347.4
Амурская область,3.816666666666667,0.8472833333333334,0.3988,51.81244148949406,84.39568077528824,6586.0,2410.333333333333,1155.1666666666667,61.66666666666666,322.3333333333333,46.8515,765765,15200.0
Магаданская область,3.9,0.8289666666666666,0.4056,57.41841047810912,78.26907073715945,1221.1666666666667,410.6666666666667,233.5,9.833333333333334,52.16666666666666,49.2455,136039,2449.6
Сахалинская область,7.350000000000001,0.8263833333333336,0.4098,55.63033680310157,80.71940861571844,4016.0,1488.6666666666667,658.6666666666666,67.5,169.66666666666666,54.583,465660,8440.8
Еврейская автономная область,9.683333333333334,0.9681666666666668,0.3364,52.46014113751496,72.85852870535359,1421.5,437.1666666666667,312.6666666666667,3.1666666666666665,73.66666666666667,37.5105,150224,2910.0
Чукотский автономный округ,1.4833333333333334,0.3768500000000001,0.4314,52.41686303776762,84.94385899426985,452.8333333333333,221.16666666666663,106.33333333333331,0.6666666666666666,10.666666666666666,44.6225,47995,824.0
